Title,First name,Last name,Email,Phone number,Address line 1,Address line 2,Address line 3,Postcode,Date of birth,Gender,Nationality,T shirt size,Visa expiry,Emergency contact phone,Position,Location,Main Schedule,Start Date,Finish Date,Payroll Department,Pay Rate Hourly,Pay Rate Weekly
Ms.,Cheryl,Dawson,lgeorge@hotmail.com,641.121.9291,883 Brooks Center,Alfredton,Michigan,64464,10/04/1989,Male,Polish,M,18/07/2027,001-327-357-3876,Barman,Manchester,BAR,20/10/2022,06/12/2024,Hourly,10.5,
Ms.,Juan,Mendoza,sandramartinez@gmail.com,633-314-9692x8407,0828 Peter Cove Apt. 394,North Josephshire,Wisconsin,43294,23/10/1971,Male,Ukrainian,M,28/11/2031,+1-479-754-9871x01146,Manager,Surrey,BAR,14/08/2022,20/11/2024,Hourly,13,
Ms.,Angela,Stone,gibbsrandy@gmail.com,243.541.6188x8703,18003 Valenzuela Vista Suite 648,Davidhaven,North Carolina,17253,05/01/1973,Male,Irish,L,05/12/2032,(766)721-4821,Manager,Manchester,DIM SUM CK,14/04/2023,26/02/2025,Hourly,18,
Ms.,Allison,Tyler,zmartinez@hotmail.com,455-533-5605,2628 Paul Canyon,New Jacquelinehaven,South Carolina,93950,02/02/2004,Male,English,M,09/05/2030,001-729-959-4734x69970,Front of house,London,HOT KITCHEN,26/05/2023,21/02/2025,Hourly,9,
Ms.,Natalie,Blanchard,staceycoleman@gomez-williams.com,+1-026-812-4450,3528 Brown Walk,South Amandahaven,Texas,14638,28/07/1959,Female,Polish,S,19/04/2026,(153)005-8673,Barman,Manchester,COLD KITCHEN,09/06/2023,26/01/2025,Hourly,10.5,
Ms.,Michael,Carlson,heatherrowe@delgado.com,7743828886,136 Holden Rest,Johnnyview,Oregon,10414,23/07/1979,Female,Irish,XXL,24/08/2031,+1-401-518-8755x1033,Front of house,Manchester,FRONT KITCHEN,11/02/2023,08/11/2025,Hourly,13,
Mr.,Eric,Rivera,levinecaleb@yahoo.com,368.551.2267x097,0660 Thompson Tunnel Apt. 650,Davidchester,New York,39817,12/05/1976,Female,English,S,30/11/2031,001-137-388-7387x20112,Manager,Manchester,RESTAURANT,01/08/2022,15/05/2025,Hourly,18,
Ms.,Tyler,Charles,jaustin@gray.com,3544829151,1480 Harris Vista Apt. 019,Holdermouth,Oregon,7833,20/12/1966,Female,Irish,L,25/06/2032,+1-411-543-2509x4947,Barman,Surrey,BAR,04/08/2022,04/02/2025,Hourly,9,
Ms.,Michael,Huynh,jcervantes@yahoo.com,811-366-2117,8587 Davis Circles Suite 671,Port Nicole,Vermont,74120,09/11/1998,Male,Irish,L,16/03/2030,001-962-949-3099x252,Barman,Surrey,DIM SUM CK,14/11/2022,15/05/2025,Hourly,10.5,
Ms.,Nathan,Harris,vincentjohnson@garza.info,+1-623-331-6971,4486 Moore Vista Apt. 369,South Randallland,Iowa,67758,18/10/1961,Female,English,S,25/04/2029,063-517-8897x371,Barman,Manchester,HOT KITCHEN,02/09/2022,12/08/2025,Hourly,13,
